Outcome,Fighter,Fightee,Str,TD,Sub,Pass,Str2,TD2,Sub2,Pass2,Name,Date,Method,Misc,Rounds,Time,
loss,Tom Aaron,Matt Ricehouse,0,0,0,0,0,0,0,0,Strikeforce - Henderson vs. Babalu,Dec. 04  2010,U-DEC,,3,05:00,
win,Tom Aaron,Eric Steenberg,0,0,0,0,0,0,0,0,Strikeforce - Heavy Artillery,May. 15  2010,SUB,Guillotine Choke,1,00:56,
loss,Danny Abbadi,Jorge Gurgel,56,58,0,1,0,1,0,0,UFC 63: Hughes vs Penn,Sep. 23  2006,S-DEC,,3,05:00,
loss,Danny Abbadi,Kalib Starnes,3,21,0,1,0,1,0,3,The Ultimate Fighter 3 Finale,Jun. 24  2006,SUB,Rear Naked Choke,1,02:56,
loss,David Abbott,Kevin Ferguson,1,13,0,0,0,0,0,0,EliteXC - Street Certified,Feb. 16  2008,KO/TKO,Punches,1,00:43,
loss,David Abbott,Paul Buentello,4,9,0,0,0,0,0,0,Strikeforce - Tank vs. Buentello,Oct. 07  2006,KO/TKO,Punch,1,00:43,
loss,David Abbott,Hidehiko Yoshida,2,14,1,0,0,1,1,0,PRIDE Final Conflict 2005,Aug. 28  2005,SUB,Gi Choke,1,07:40,
loss,David Abbott,Wesley Correira,11,13,0,0,0,0,0,0,UFC 45: Revolution,Nov. 21  2003,KO/TKO,,1,02:14,
loss,David Abbott,Kimo Leopoldo,0,1,0,1,0,1,0,2,UFC 43: Meltdown,Jun. 06  2003,SUB,Arm Triangle,1,01:59,
loss,David Abbott,Frank Mir,1,0,0,0,0,2,0,0,UFC 41: Onslaught,Feb. 28  2003,SUB,Toe Hold,1,00:46,
loss,David Abbott,Pedro Rizzo,16,24,1,0,0,0,0,0,UFC - Ultimate Brazil,Oct. 16  1998,KO/TKO,Punch,1,08:07,
win,David Abbott,Hugo Duarte,11,0,0,1,0,0,0,1,UFC 17: Redemption,May. 15  1998,KO/TKO,Punches,1,00:43,
win,David Abbott,Yoji Anjo,13,9,3,0,0,1,1,0,UFC - Ultimate Japan,Dec. 21  1997,U-DEC,,2,03:00,
loss,David Abbott,Maurice Smith,5,12,0,0,0,1,3,0,UFC 15: Collision Course,Oct. 17  1997,SUB,Other,1,08:08,
loss,David Abbott,Vitor Belfort,2,15,0,1,0,0,0,0,UFC 13: The Ultimate Force,May. 30  1997,KO/TKO,Punches,1,00:52,
win,David Abbott,Cal Worsham,4,5,0,0,1,0,1,0,UFC - Ultimate Ultimate '96,Dec. 07  1996,KO/TKO,Punches,1,02:51,
win,David Abbott,Steve Nelmark,9,2,1,0,0,0,1,0,UFC - Ultimate Ultimate '96,Dec. 07  1996,KO/TKO,Punch,1,01:03,
loss,David Abbott,Don Frye,13,6,0,0,0,2,0,1,UFC - Ultimate Ultimate '96,Dec. 07  1996,SUB,Rear Naked Choke,1,01:22,
win,David Abbott,Sam Adkins,8,0,1,0,1,0,1,0,UFC 11: The Proving Ground,Sep. 20  1996,SUB,Forearm Choke,1,02:06,
loss,David Abbott,Scott Ferrozzo,21,60,0,0,0,0,0,0,UFC 11: The Proving Ground,Sep. 20  1996,U-DEC,,2,03:00,
win,David Abbott,Steve Jennum,1,0,1,0,1,0,1,0,UFC - Ultimate Ultimate '95,Dec. 16  1995,SUB,Neck Crank,1,01:14,
loss,David Abbott,Dan Severn,3,57,0,1,0,0,0,0,UFC - Ultimate Ultimate '95,Dec. 16  1995,U-DEC,,1,18:00,
win,David Abbott,John Matua,7,0,0,0,0,0,0,0,UFC 6: Clash of the Titans,Jul. 14  1995,KO/TKO,Punches,1,00:20,
win,David Abbott,Paul Varelans,14,1,1,0,0,0,1,0,UFC 6: Clash of the Titans,Jul. 14  1995,KO/TKO,Punches,1,01:53,
loss,David Abbott,Oleg Taktarov,17,4,2,0,1,4,1,1,UFC 6: Clash of the Titans,Jul. 14  1995,SUB,Rear Naked Choke,1,17:45,
win,Shamil Abdurakhimov,Marcin Tybura,36,28,0,0,0,0,0,0,UFC Fight Night: Overeem vs. Oleinik,Apr. 20  2019,KO/TKO,Punches,2,03:15,
win,Shamil Abdurakhimov,Andrei Arlovski,32,18,2,2,0,0,0,0,UFC Fight Night: Hunt vs. Oleinik,Sep. 15  2018,U-DEC,,3,05:00,
win,Shamil Abdurakhimov,Chase Sherman,6,5,0,0,0,0,0,0,UFC Fight Night: Bisping vs. Gastelum,Nov. 25  2017,KO/TKO,Punches,1,01:24,
loss,Shamil Abdurakhimov,Derrick Lewis,15,39,4,1,1,0,3,1,UFC Fight Night: Lewis vs. Abdurakhimov,Dec. 09  2016,KO/TKO,Punches,4,03:42,
win,Shamil Abdurakhimov,Walt Harris,47,33,1,0,0,1,1,0,UFC Fight Night: Lineker vs. Dodson,Oct. 01  2016,S-DEC,,3,05:00,
win,Shamil Abdurakhimov,Anthony Hamilton,62,40,0,0,0,0,0,0,UFC Fight Night: Cowboy vs Cowboy,Feb. 21  2016,U-DEC,,3,05:00,
loss,Shamil Abdurakhimov,Tim Johnson,9,22,0,1,0,0,0,2,UFC Fight Night: Mendes vs Lamas,Apr. 04  2015,KO/TKO,Punches,1,04:57,
draw,Hiroyuki Abe,Naoki Matsushita,22,33,0,1,0,0,0,1,PRIDE Bushido 12,Aug. 27  2006,Other,,2,05:00,
loss,Hiroyuki Abe,Luiz Firmino,0,7,0,1,0,1,0,2,PRIDE Bushido 4,Jul. 19  2004,SUB,Arm Triangle,1,02:52,
loss,Daichi Abe,Li Jingliang,45,96,0,0,0,0,0,0,UFC Fight Night: Cowboy vs. Edwards,Jun. 23  2018,U-DEC,,3,05:00,
loss,Daichi Abe,Luke Jumeau,63,63,0,1,0,0,0,0,UFC 221: Romero vs. Rockhold,Feb. 10  2018,U-DEC,,3,05:00,
win,Daichi Abe,Hyun Gyu Lim,63,43,1,0,0,0,1,0,UFC Fight Night: Saint Preux vs. Okami,Sep. 22  2017,U-DEC,,3,05:00,
loss,Papy Abedi,Dylan Andrews,19,20,3,2,3,0,4,1,UFC Fight Night: Condit vs Kampmann 2,Aug. 28  2013,KO/TKO,Punch,3,01:32,
win,Papy Abedi,Besam Yousef,53,43,4,2,0,0,2,0,UFC on FUEL TV 9: Mousasi vs Latifi,Apr. 06  2013,S-DEC,,3,05:00,
loss,Papy Abedi,James Head,11,21,1,0,0,1,1,2,UFC on FUEL TV: Gustafsson vs Silva,Apr. 14  2012,SUB,Rear Naked Choke,1,04:33,
loss,Papy Abedi,Thiago Alves,14,25,0,0,0,1,0,2,UFC 138: Leben vs Munoz,Nov. 05  2011,SUB,Rear Naked Choke,1,03:32,
loss,Ricardo Abreu,Jake Collier,47,67,3,0,0,0,1,0,UFC Fight Night: Boetsch vs Henderson,Jun. 06  2015,S-DEC,,3,05:00,
win,Ricardo Abreu,Wagner Silva,33,17,0,0,1,0,3,0,TUF Brazil Finale: Miocic vs Maldonado,May. 31  2014,SUB,Rear Naked Choke,2,01:06,
loss,Daniel Acacio,Rousimar Palhares,0,6,0,2,0,1,0,0,Fury FC 5: Final Conflict,Dec. 06  2007,SUB,Heel Hook,1,01:22,
loss,Daniel Acacio,Akihiro Gono,47,55,0,0,0,0,0,2,PRIDE Bushido 9: The Tournament,Sep. 25  2005,U-DEC,,2,05:00,
win,Daniel Acacio,Kazuo Misaki,66,58,1,0,0,0,0,0,PRIDE Bushido 8,Jul. 17  2005,U-DEC,,2,05:00,
win,Daniel Acacio,Daiju Takase,45,9,0,0,0,1,0,1,PRIDE Bushido 6,Apr. 03  2005,KO/TKO,,2,03:34,
win,Scott Adams,Ian Freeman,0,0,1,0,4,1,0,0,UFC 24: First Defense,Mar. 10  2000,SUB,Heel Hook,1,03:09,
loss,Juan Adams,Arjan Bhullar,81,41,0,2,0,0,0,2,UFC Fight Night: Iaquinta vs. Cowboy,May. 04  2019,U-DEC,,3,05:00,
win,Juan Adams,Chris de la Rocha,86,41,2,1,0,0,4,0,UFC Fight Night: Lee vs. Iaquinta,Dec. 15  2018,KO/TKO,Knee,3,00:58,
win,Israel Adesanya,Kelvin Gastelum,109,91,0,1,2,0,0,0,UFC 236: Holloway vs. Poirier 2,Apr. 13  2019,U-DEC,,5,05:00,
