First,Last,Height,Weight,Reach,Stance,Birth,SLpM,Str. Acc., SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws, Last_3_W, Last_3_L, W_Streak, L_Streak, KOs, Subs, UFC_Fights, Fight_Time,
Tom,Aaron,--,155lbs.,--,--,Jul13 1978,0,0,0,0,0,0,0,0,5,3,0,1,1,0,1,0,1,15.93,2,
Danny,Abbadi,"5'11""",155lbs.,--,Orthodox,Jul03 1983,3.29,38,4.41,57,0,0,77,0,4,6,0,0,2,0,2,0,1,17.93,2,
David,Abbott,"6'0""",265lbs.,--,Switch,--,1.35,30,3.55,38,1.07,33,66,0,10,14,0,0,3,0,7,10,8,61.48,21,
Shamil,Abdurakhimov,"6'3""",235lbs.,"76""",Orthodox,Sep02 1981,2.45,44,2.45,58,1.23,24,47,0.2,20,5,0,2,1,0,1,5,0,85.67,8,
Hiroyuki,Abe,"5'6""",145lbs.,--,Orthodox,--,1.71,36,3.11,63,0,0,33,0,8,14,3 (1 NC),0,1,0,1,0,1,12.87,2,
Daichi,Abe,"5'11""",170lbs.,"71""",Orthodox,Nov27 1991,3.8,33,4.49,56,0.33,50,0,0,6,2,0,1,2,0,2,0,0,45,3,
Papy,Abedi,"5'11""",185lbs.,"74""",Southpaw,Jun30 1978,2.8,55,3.15,48,3.47,57,50,1.3,9,3,0,1,2,0,1,1,2,34.62,4,
Ricardo,Abreu,"5'11""",185lbs.,"73""",Orthodox,Apr27 1984,3.79,31,3.98,68,2.13,42,100,0.7,5,3,0,1,1,0,1,0,1,21.1,2,
Klidson,Abreu,"6'0""",205lbs.,"74""",Orthodox,Dec24 1992,1.97,39,1.93,59,0.5,12,75,0,15,3,0,1,1,1,0,0,0,30,3,
Daniel,Acacio,"5'8""",180lbs.,--,Orthodox,Dec27 1977,3.52,36,2.85,62,0.33,20,81,0,26,12,0,1,2,0,2,1,1,29.93,4,
Scott,Adams,"6'0""",225lbs.,--,Southpaw,--,0,0,0,0,0,0,0,0,8,1,0,1,0,1,0,0,1,3.15,1,
Juan,Adams,"6'5""",265lbs.,"80""",Orthodox,Jan16 1992,7.32,55,4,34,0.97,66,57,0,5,2,0,1,2,0,2,2,0,26.72,3,
